Date;Withdrawals;Deposits;Payee;Description;Reference Number
2025-06-06;0.0;7110.1;;Transfer; DE#C0051571757901#MT103#ENTHUS GMBH#ROC/250605004A000121/URI/INVOICEINV2025101192. ISN 000
2025-06-06;0.0;5508.12;;Transfer; DE#C0051572524801#MT103#ADESSO BUSINESS CONSULTING AG#ROC/3000086972051211/URI INV20251011
2025-06-08;25.0;0.0;;Transfer; VISA IssuerPOS Purchase666031:22025060702291084004174008MICROSOFT#G095346053MSBILL.INFO       IE
2025-06-13;12000.0;0.0;;Transfer; REF:1976a89d77a3a8ff IB FT AT XRATE 2650 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-06-14;35.43;0.0;;Transfer; VISA IssuerPOS Purchase356681:22025061410081084099999999AMZN Mktp DE CB3JW7AAMAZON.DE         LU
2025-06-15;6.0;0.0;;Transfer; VISA IssuerPOS Purchase823441:22025061401140684004174008MICROSOFT#G097241474MSBILL.INFO       IE
2025-06-16;0.0;26.13;;Transfer; Visa Issuer Refund-14062025-516572108358-000000-010429
2025-06-16;0.0;10016.16;;Transfer; US#2025061600294724#KOENIG.SOLUTIONS GMBH#INV2025101191 (rku)
2025-06-16;12.0;0.0;;Transfer; Monthly Maintenance Fee
2025-06-16;2.16;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-06-17;213.0;0.0;;Transfer; VISA IssuerPOS Purchase628831:22025061619351584035930410APRIL INTERNATIONAL.LONDON            GB
2025-06-18;38.57;0.0;;Transfer; VISA IssuerPOS Purchase335101:22025061516534784099999999AMZN Mktp DE Z36XY6QAMAZON.DE         LU
2025-06-22;60.0;0.0;;Transfer; VISA IssuerPOS Purchase300491:2202506220628148407N3QWJUFOPENAI  CHATGPT SUBSOPENAI.COM        US
2025-06-23;0.0;970.54;;Transfer; UnBlocking:VISA IssuerPOS Purchase590421:10025060819310984099999999AMZN Mktp DE        AMAZON.DE
2025-06-23;10000.0;0.0;;Transfer; REF:1979d1f9aeeaaa5b IB FT AT XRATE 2700 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer T
2025-06-25;1027.94;0.0;;Transfer; Visa Issuer Transactions-13JUN2025-516477107856-590421-AMZN Mktp DE A93RI42
