Date;Withdrawals;Deposits;Payee;Description;Reference Number
2025-02-08;25.0;0.0;;Transfer; VISA IssuerPOS Purchase199071:22025020701512684004174008MICROSOFT#G077007508MSBILL.INFO       IE||R
2025-02-14;0.0;8560.0;;Transfer; DE#S06504427B0C01#MT103#ENTHUS GMBH#INVOICE INV2025101178
2025-02-14;5.0;0.0;;Transfer; DE#S06504427B0C01#TRANSFER_EXPNSES#ENTHUS GMBH#MT103
2025-02-14;0.9;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-02-14;15000.0;0.0;;Transfer; REF:19503a2bf9f51915 IB FT AT XRATE 2623 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-02-14;1495.27;0.0;;Transfer; TZ HZ1IK1R7M1OB792E IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-02-14;0.8;0.0;;Transfer; TZ HZ1IK1R7M1OB792E CHARGE: TIS TRANSFER VIA IB
2025-02-14;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-02-14;1482.07;0.0;;Transfer; TZ HZ1IK1RI5R260BE9 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-02-14;0.8;0.0;;Transfer; TZ HZ1IK1RI5R260BE9 CHARGE: TIS TRANSFER VIA IB
2025-02-14;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-02-14;1465.95;0.0;;Transfer; TZ HZ1IK1RRDF0FAB2E IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-02-14;0.8;0.0;;Transfer; TZ HZ1IK1RRDF0FAB2E CHARGE: TIS TRANSFER VIA IB
2025-02-14;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-02-14;1465.95;0.0;;Transfer; TZ HZ1IK1SN0FV21BC2 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-02-14;0.8;0.0;;Transfer; TZ HZ1IK1SN0FV21BC2 CHARGE: TIS TRANSFER VIA IB
2025-02-14;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-02-14;1465.95;0.0;;Transfer; TZ HZ1IK1SUISBB6847 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-02-14;0.8;0.0;;Transfer; TZ HZ1IK1SUISBB6847 CHARGE: TIS TRANSFER VIA IB
2025-02-14;1465.95;0.0;;Transfer; TZ HZ1IK1T6IIVC28D1 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-02-14;0.8;0.0;;Transfer; TZ HZ1IK1T6IIVC28D1 CHARGE: TIS TRANSFER VIA IB
2025-02-14;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-02-14;765.4;0.0;;Transfer; TZ HZ1IK1TDIHV4AB0F IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-02-14;0.8;0.0;;Transfer; TZ HZ1IK1TDIHV4AB0F CHARGE: TIS TRANSFER VIA IB
2025-02-14;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-02-14;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-02-15;6.0;0.0;;Transfer; VISA IssuerPOS Purchase903861:22025021402071184004174008MICROSOFT#G078664512MSBILL.INFO       IE||R
2025-02-16;12.0;0.0;;Transfer; Monthly Maintenance Fee
2025-02-16;2.16;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-02-25;23.6;0.0;;Transfer; VISA IssuerPOS Purchase148751:2202502250053438407N3QWJUFOPENAI  CHATGPT SUBSOPENAI.COM        US||R
