Date;Withdrawals;Deposits;Payee;Description;Reference Number
2025-03-08;25.0;0.0;;Transfer; VISA IssuerPOS Purchase286211:22025030702005484004174008MICROSOFT#G081267985MSBILL.INFO       IE||R
2025-03-12;0.0;14856.27;;Transfer; DE#2025031200227050#MT103#KOENIG.SOLUTIONS GMBH#INV2025101179 (rku)
2025-03-14;4000.0;0.0;;Transfer; REF:19595c4a5dfaf828 IB FT AT XRATE 2698 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-03-14;4000.0;0.0;;Transfer; REF:19595e0eaa2c0b3f IB FT AT XRATE 2698 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-03-15;6.0;0.0;;Transfer; VISA IssuerPOS Purchase663141:22025031402005084004174008MICROSOFT#G082988139MSBILL.INFO       IE||R
2025-03-15;1459.53;0.0;;Transfer; TZ HZ1IMCAJT4CDD8A7 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-03-15;0.8;0.0;;Transfer; TZ HZ1IMCAJT4CDD8A7 CHARGE: TIS TRANSFER VIA IB
2025-03-15;1446.65;0.0;;Transfer; TZ HZ1IMCATNFD0290C IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-03-15;0.8;0.0;;Transfer; TZ HZ1IMCATNFD0290C CHARGE: TIS TRANSFER VIA IB
2025-03-15;1430.91;0.0;;Transfer; TZ HZ1IMCB62FODE819 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-03-15;0.8;0.0;;Transfer; TZ HZ1IMCB62FODE819 CHARGE: TIS TRANSFER VIA IB
2025-03-15;1430.91;0.0;;Transfer; TZ HZ1IMCBEIVNF6AAE IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-03-15;0.8;0.0;;Transfer; TZ HZ1IMCBEIVNF6AAE CHARGE: TIS TRANSFER VIA IB
2025-03-15;1430.91;0.0;;Transfer; TZ HZ1IMCBM7I8DA80A IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-03-15;0.8;0.0;;Transfer; TZ HZ1IMCBM7I8DA80A CHARGE: TIS TRANSFER VIA IB
2025-03-15;1430.91;0.0;;Transfer; TZ HZ1IMCBTO4A6C8B4 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-03-15;0.8;0.0;;Transfer; TZ HZ1IMCBTO4A6C8B4 CHARGE: TIS TRANSFER VIA IB
2025-03-15;747.11;0.0;;Transfer; TZ HZ1IMCC686S83902 IB TIS TRANSFER FROM KAFFON COMPANY LIMITED TO Property International 
2025-03-15;0.8;0.0;;Transfer; TZ HZ1IMCC686S83902 CHARGE: TIS TRANSFER VIA IB
2025-03-15;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-03-15;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-03-15;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-03-15;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-03-15;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-03-15;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-03-15;0.14;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-03-16;12.0;0.0;;Transfer; Monthly Maintenance Fee
2025-03-16;2.16;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-03-17;0.0;10786.88;;Transfer; DE#2025031700297160#MT103#KOENIG.SOLUTIONS GMBH#INV2025101174
2025-03-18;0.0;4218.32;;Transfer; DE#C0050770753301#MT103#ADESSO BUSINESS CONSULTING AG#ROC/3000012104051211/URI INV20251011
2025-03-18;5.0;0.0;;Transfer; DE#C0050770753301#TRANSFER_EXPNSES#ADESSO BUSINESS CONSULTING AG#MT103
2025-03-18;0.9;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-03-22;6500.0;0.0;;Transfer; REF:195bf2aa7134b8f7 IB FT AT XRATE 2700 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-03-22;60.0;0.0;;Transfer; VISA IssuerPOS Purchase511641:2202503220526178407N3QWJUFOPENAI  CHATGPT SUBSOPENAI.COM        US||R
2025-03-22;11.8;0.0;;Transfer; VISA IssuerPOS Purchase653141:2202503220558558407N3QWJUFOPENAI              OPENAI.COM        US||R
2025-03-26;0.0;1.18;;Transfer; Visa Issuer  Pos Refund-24032025-508327100023-017358-016275
2025-03-27;0.0;6613.53;;Transfer; DE#S065085257FE01#MT103#ENTHUS GMBH#INVOICE INV2025101181
2025-03-27;5.0;0.0;;Transfer; DE#S065085257FE01#TRANSFER_EXPNSES#ENTHUS GMBH#MT103
2025-03-27;0.9;0.0;;Transfer; VAT (18%) PAYABLE ON COMMISSION AND FEES : FULL
2025-03-28;10000.0;0.0;;Transfer; REF:195dbd638e643b11 IB FT AT XRATE 2715 FROM KAFFON TO KAFFON COMPANY LIMITED  Transfer t
2025-03-31;0.0;6770.2;;Transfer; DE#C0050900226701#MT103#ADESSO BUSINESS CONSULTING AG#ROC/3000023717051211/URI/INV20251011
2025-03-31;5.0;0.0;;Transfer; DE#C0050900226701#TRANSFER_EXPNSES#ADESSO BUSINESS CONSULTING AG#MT103
